age,amount,authentication_information,avg_amount,avg_data,avg_rate,bidders,borrow_history,college,cumulative_amount_of_borrowing,degree_education,end_time,first_borrow_time,id,last_fuzhai,learn_form,male,max_borrow_amount,max_liabilities,max_overtime,normal_repay,overtime_less_15,overtime_more_15,progressBar,registerTime,state,succeed_borrow,succeed_repay,sum_of_to_pay,timeLimit,to_be_gather,to_be_repay,update_time,userId,userName,userRate,year_rate
24,2000,,0,0,0,5,,无,,无,2017/7/14,,58843403,,无,男,,,,,,,100%,2015/11/17,1,,,,12 ,,,2017-07-18,,pdu0167407611,C,20
23,924,身份证认证|手机认证,2118.9,120.6,0.1684,14,0次流标，0次撤标，1次失败,无,35566.00,无,19天11时29分,2016/4/6,59481918,10138.2,无,女,5029.00,10792.56,0.0,84,0,0,60%,2016/4/6,0.5,22,84,9667.519999999999,6 ,0.00,10138.20,2017-07-18,,pdu6421060231,C,20
23,2981,身份证认证|手机认证,3000.0,180.0,0.11,13,0次流标，0次撤标，0次失败,无,3000.00,无,19天03时30分,2017/5/15,59385757,2324.64,无,男,3000.00,3486.96,0.0,2,0,0,25%,2017/4/19,0.5,1,2,2324.64,6 ,0.00,2324.64,2017-07-18,,pdu2753730442,C,20
21,3000,,0,0,0,10,,无,,无,2017/7/14,,58805167,,无,女,,,,,,,100%,2017/2/21,1,,,,12 ,,,2017-07-18,,pdu5604510215,C,20
33,785,,0,0,0,2,,无,,无,2017/7/16,,59139557,,无,男,,,,,,,100%,2017/5/10,1,,,,6 ,,,2017-07-18,,pdu5258523418,C,20
54,16600,,0,0,0,163,,无,,无,2017/7/15,,58572861,,无,女,,,,,,,100%,2016/5/14,1,,,,6 ,,,2017-07-18,,pdu3271114451,C,20
39,3100,,0,0,0,9,,无,,无,2017/7/17,,59315051,,无,男,,,,,,,100%,2017/5/15,1,,,,6 ,,,2017-07-18,,pdu0013162574,D,22
38,3590,,0,0,0,52,,无,,无,2017/7/14,,58836738,,无,男,,,,,,,100%,2016/11/4,1,,,,6 ,,,2017-07-18,,pdu1651578383,C,20
26,3393,身份证认证|手机认证,2584.9,234.0,0.18000000000000002,0,2次流标，1次撤标，0次失败,无,25849.00,无,19天07时52分,2016/5/4,59444453,9675.99,无,女,6000.00,11433.81,-1.0,37,4,0,0%,2016/3/23,0.5,10,41,8260.52,12 ,0.00,9675.99,2017-07-18,,pdu4140514836,C,20
23,10000,身份证认证|手机认证,0,0,0,26,0次流标，1次撤标，0次失败,无,0.00,无,18天11时32分,,59281091,,无,女,0.00,0.00,,0,0,0,67%,2017/7/16,0.5,0,0,,12 ,0.00,0.00,2017-07-18,,pdu6051504511,B,18
22,1159,,0,0,0,13,,无,,无,2017/7/15,,59004257,,无,女,,,,,,,100%,2017/1/9,1,,,,6 ,,,2017-07-18,,pdu6464348847,B,18
31,4497,,0,0,0,69,,无,,无,2017/7/15,,58978990,,无,女,,,,,,,100%,2016/6/23,1,,,,6 ,,,2017-07-18,,pdu0845463471,C,20
28,11000,,0,0,0,44,,无,,无,2017/7/14,,58758434,,无,女,,,,,,,100%,2015/9/14,1,,,,12 ,,,2017-07-18,,pdu66058570,C,20
25,2000,身份证认证|手机认证,1625.0,360.0,0.16,1,0次流标，1次撤标，0次失败,无,6500.00,无,19天14时04分,2017/7/1,59499540,7249.12,无,男,2000.00,7249.12,,2,0,0,2%,2017/7/1,0.5,4,2,3418.5399999999995,12 ,0.00,7249.12,2017-07-18,,pdu2020240763,C,20
26,1000,,0,0,0,6,,无,,无,2017/7/16,,59134381,,无,女,,,,,,,100%,2016/10/5,1,,,,6 ,,,2017-07-18,,pdu0875187335,C,20
24,7870,,0,0,0,22,,无,,无,2017/7/14,,58773025,,无,女,,,,,,,100%,2016/5/8,1,,,,6 ,,,2017-07-18,,pdu1240358336,C,20
25,4455,,0,0,0,16,,无,,无,2017/7/14,,58821171,,无,女,,,,,,,100%,2016/11/10,1,,,,6 ,,,2017-07-18,,pdu0325457523,C,20
24,3000,,0,0,0,23,,无,,无,2017/7/16,,59103590,,无,男,,,,,,,100%,2015/12/9,1,,,,6 ,,,2017-07-18,,pdu7131256403,C,20
51,2500,,0,0,0,6,,无,,无,2017/7/14,,58762172,,无,男,,,,,,,100%,2016/3/27,1,,,,6 ,,,2017-07-18,,pdu3416031865,C,20
23,10000,身份证认证|手机认证,0,0,0,1,0次流标，0次撤标，0次失败,无,0.00,无,19天09时55分,,59468171,,无,女,0.00,0.00,,0,0,0,0%,2017/7/17,0.5,0,0,,12 ,0.00,0.00,2017-07-18,,pdu5014220283,C,20
38,2079,,0,0,0,4,,无,,无,2017/7/14,,58831299,,无,女,,,,,,,100%,2017/6/19,1,,,,6 ,,,2017-07-18,,pdu5276361671,C,20
36,11813,,0,0,0,96,,无,,无,2017/7/14,,58783747,,无,男,,,,,,,100%,2015/9/5,1,,,,6 ,,,2017-07-18,,pdu60720812,C,20
47,904,,0,0,0,7,,无,,无,2017/7/14,,58838809,,无,男,,,,,,,100%,2016/1/7,1,,,,6 ,,,2017-07-18,,pdu2120287673,C,20
37,13189,,0,0,0,139,,无,,无,2017/7/17,,59228148,,无,女,,,,,,,100%,2016/7/3,1,,,,12 ,,,2017-07-18,,pdu7414385456,C,20
38,2000,,0,0,0,22,,无,,无,2017/7/18,,59518725,,无,女,,,,,,,100%,2015/10/28,1,,,,6 ,,,2017-07-18,,pdu30772357,D,22
22,4000,,0,0,0,32,,无,,无,2017/7/15,,58938751,,无,女,,,,,,,100%,2016/8/11,1,,,,12 ,,,2017-07-18,,pdu3613010260,C,20
23,15150,,0,0,0,78,,无,,无,2017/7/14,,58577377,,无,男,,,,,,,100%,2015/11/15,1,,,,12 ,,,2017-07-18,,pdu8564446247,D,22
21,2000,,0,0,0,2,,无,,无,2017/7/14,,58808484,,无,男,,,,,,,100%,2016/10/29,1,,,,6 ,,,2017-07-18,,pdu0176245810,C,20
29,3426,,0,0,0,21,,无,,无,2017/7/18,,59475355,,无,女,,,,,,,100%,2017/1/12,1,,,,12 ,,,2017-07-18,,pdu3738455102,C,20
29,1950,,0,0,0,14,,无,,无,2017/7/14,,58842278,,无,男,,,,,,,100%,2014/12/10,1,,,,6 ,,,2017-07-18,,rong5298749,C,20
27,1157,身份证认证|手机认证,4562.0,150.0,0.18333333333333335,14,0次流标，1次撤标，0次失败,无,13686.00,无,19天05时09分,2017/3/13,59408884,5612.7,无,男,6500.00,7087.50,,6,0,0,46%,2016/12/20,0.5,3,6,5612.700000000001,6 ,0.00,5612.70,2017-07-18,,pdu1564456124,C,20
24,700,,0,0,0,1,,无,,无,2017/7/14,,58816680,,无,女,,,,,,,100%,2016/2/27,1,,,,6 ,,,2017-07-18,,pdu6611836406,C,20
27,1600,,0,0,0,14,,无,,无,2017/7/16,,59137438,,无,女,,,,,,,100%,2017/2/23,1,,,,6 ,,,2017-07-18,,pdu1460623867,B,18
32,2275,,0,0,0,10,,无,,无,2017/7/14,,58826209,,无,男,,,,,,,100%,2015/10/28,1,,,,6 ,,,2017-07-18,,pdu31310646,D,22
30,2008,,0,0,0,17,,无,,无,2017/7/16,,59142919,,无,男,,,,,,,100%,2016/5/20,1,,,,6 ,,,2017-07-18,,pdu3766245633,B,18
27,15000,,0,0,0,160,,无,,无,2017/7/17,,59031864,,无,男,,,,,,,100%,2017/7/15,1,,,,12 ,,,2017-07-18,,pdu8703630736,C,20
31,4515,,0,0,0,21,,无,,无,2017/7/16,,59096795,,无,男,,,,,,,100%,2016/10/10,1,,,,12 ,,,2017-07-18,,pdu7034384273,C,20
43,3590,,0,0,0,11,,无,,无,2017/7/15,,58992014,,无,男,,,,,,,100%,2016/3/8,1,,,,6 ,,,2017-07-18,,pdu4330877730,C,20
29,14000,,0,0,0,129,,无,,无,2017/7/14,,58684156,,无,女,,,,,,,100%,2017/7/13,1,,,,12 ,,,2017-07-18,,pdu2254655615,D,22
23,10000,,0,0,0,40,,无,,无,2017/7/15,,58756550,,无,女,,,,,,,100%,2017/4/5,1,,,,6 ,,,2017-07-18,,pdu4853564380,C,20
36,3727,,0,0,0,25,,无,,无,2017/7/14,,58795608,,无,女,,,,,,,100%,2016/7/14,1,,,,6 ,,,2017-07-18,,pdu7218064011,C,20
37,1100,,0,0,0,3,,无,,无,2017/7/18,,59482973,,无,男,,,,,,,100%,2016/4/24,1,,,,6 ,,,2017-07-18,,pdu7056585026,C,20
30,2000,,0,0,0,6,,无,,无,2017/7/14,,58827211,,无,男,,,,,,,100%,2017/1/1,1,,,,12 ,,,2017-07-18,,pdu3432686031,D,22
25,3000,,0,0,0,4,,无,,无,2017/7/14,,58782240,,无,男,,,,,,,100%,2017/1/27,1,,,,12 ,,,2017-07-18,,pdu5165141422,C,20
26,2001,,0,0,0,28,,无,,无,2017/7/14,,58759275,,无,男,,,,,,,100%,2016/7/8,1,,,,12 ,,,2017-07-18,,pdu4573524317,D,22
37,6563,,0,0,0,34,,无,,无,2017/7/14,,58484594,,无,男,,,,,,,100%,2016/1/14,1,,,,6 ,,,2017-07-18,,pdu1851536406,D,22
19,1060,身份证认证|手机认证,2025.3333333333333,240.0,0.22,3,0次流标，0次撤标，0次失败,无,6076.00,无,19天10时37分,2017/6/16,59474752,3872.92,无,男,3000.00,5018.98,,6,0,0,9%,2017/6/16,0.5,3,6,2469.0200000000004,6 ,0.00,3872.92,2017-07-18,,pdu8886434037,C,20
