age,amount,authentication_information,avg_amount,avg_data,avg_rate,bidders,borrow_history,college,cumulative_amount_of_borrowing,degree_education,end_time,first_borrow_time,id,last_fuzhai,learn_form,male,max_borrow_amount,max_liabilities,max_overtime,normal_repay,overtime_less_15,overtime_more_15,progressBar,registerTime,state,succeed_borrow,succeed_repay,sum_of_to_pay,timeLimit,to_be_gather,to_be_repay,update_time,userId,userName,userRate,year_rate
42,8000,学历认证|身份证认证|手机认证,0,0,0,50,0次流标，0次撤标，0次失败,云南师范大学,0.00,本科,19天17时10分,,60906971,,成人,女,0.00,0.00,,0,0,0,61%,2017/2/15,0.5,0,0,,6 ,0.00,0.00,2017-07-25,,pdu8573132771,D,22
22,2000,,0,0,0,19,,无,,无,2017/7/24,,60701340,,无,男,,,,,,,100%,2016/8/23,1,,,,6 ,,,2017-07-25,,pdu2830360062,C,20
37,10000,身份证认证|手机认证,6620.0,252.0,0.20400000000000001,41,0次流标，0次撤标，0次失败,无,33100.00,无,19天05时21分,2016/5/14,60770972,2224.18,无,男,12600.00,16133.97,0.0,25,0,0,63%,2016/5/14,0.5,5,25,2224.18,6 ,0.00,2224.18,2017-07-25,,pdu0332552088,C,20
29,5300,身份证认证|手机认证,4950.0,360.0,0.16,15,0次流标，0次撤标，0次失败,无,9900.00,无,18天19时29分,2017/1/2,60700250,5558.04,无,女,5000.00,5753.40,0.0,12,0,0,74%,2017/1/2,0.5,2,12,2779.02,12 ,0.00,5558.04,2017-07-25,,pdu3537443181,C,20
28,7197,,0,0,0,45,,无,,无,2017/7/24,,60553332,,无,女,,,,,,,100%,2016/5/31,1,,,,6 ,,,2017-07-25,,pdu8874280821,B,18
34,6000,,0,0,0,30,,无,,无,2017/7/24,,60587448,,无,男,,,,,,,100%,2017/7/22,1,,,,6 ,,,2017-07-25,,pdu6330353724,B,18
32,6165,,0,0,0,45,,无,,无,2017/7/24,,60694728,,无,男,,,,,,,100%,2016/10/20,1,,,,12 ,,,2017-07-25,,pdu6533443166,C,20
33,3630,,0,0,0,15,,无,,无,2017/7/24,,60691083,,无,女,,,,,,,100%,2017/4/22,1,,,,6 ,,,2017-07-25,,pdu8852007320,B,18
26,20814,身份证认证|手机认证,4522.166666666667,325.0,0.19666666666666666,37,1次流标，0次撤标，0次失败,无,27133.00,无,9天02时18分,2015/12/26,59659124,11970.19,无,女,7403.00,12969.68,0.0,44,0,0,14%,2015/10/24,0.5,6,44,9283.47,24 ,0.00,11970.19,2017-07-25,,pdu41244672,B,18
49,5788,身份证认证|手机认证,3700.0,360.0,0.12,2,1次流标，0次撤标，0次失败,无,3700.00,无,14天14时43分,2017/2/21,60890201,2586.08,无,女,3700.00,4433.28,,5,0,0,37%,2015/11/10,0.5,1,5,2216.64,6 ,0.00,2586.08,2017-07-25,,pdu46571106,C,20
31,3289,身份证认证|手机认证,3157.5,360.0,0.19,3,0次流标，0次撤标，0次失败,无,12630.00,无,14天12时30分,2016/12/2,60869961,9109.7,无,男,4900.00,10683.38,0.0,14,0,0,82%,2016/12/2,0.5,4,14,5516.22,12 ,0.00,9109.70,2017-07-25,,pdu2503707250,C,20
